objectid,sort_index,parentid,admin_notes,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
day-38-wed-nov-24,38,,,"Day 38 - Wed, Nov 24",Miriam Abia McFate,1926-11-24,,arizona,,"Troy, MO",32.72671,-113.7552,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/038-wed-nov-24-1926.md,,,,
day-39-thu-nov-25,39,,,"Day 39 - Thu, Nov 25",Miriam Abia McFate,1926-11-25,,california,,"Moscow, MO",32.76416,-115.27058,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/039-thu-nov-25-1926.md,,,,
day-40-fri-nov-26,40,,,"Day 40 - Fri, Nov 26",Miriam Abia McFate,1926-11-26,,california,,"Old Monroe, MO",33.67912,-116.17596,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/040-fri-nov-26-1926.md,,,,
day-41-sat-nov-27,41,,,"Day 41 - Sat, Nov 27",Miriam Abia McFate,1926-11-27,,california,,"St. Charles, MO; Long Beach, CA",33.98007,-117.37592,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,objects/markdown/041-sat-nov-27-1926.md,,,,
complete-41-day-journal,42,,,Complete 41-Day Journal,Miriam Abia McFate,1926,,1926; travel; automobile,,,,,,,text,text/markdown,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,markdown,/objects/markdown/McFate-Travel-Diary.md,,,,
,43,,,,,,,,,,,,,,,,,,,,,,,,
,44,,,,,,,,,,,,,,,,,,,,,,,,
,45,,,,,,,,,,,,,,,,,,,,,,,,
,46,,,,,,,,,,,,,,,,,,,,,,,,
,47,,,,,,,,,,,,,,,,,,,,,,,,
,48,,,,,,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,,,,,,,,,,,,,,,,,,,,,,
